# k, phh, phm/ 
1.7487e+00 7.2954e+02 1.0203e+02
1.7528e+00 7.2742e+02 1.0151e+02
1.7569e+00 7.2583e+02 1.0116e+02
1.7610e+00 7.2659e+02 1.0106e+02
1.7651e+00 7.2333e+02 1.0048e+02
1.7692e+00 7.2194e+02 1.0024e+02
1.7733e+00 7.2179e+02 1.0003e+02
1.7774e+00 7.2076e+02 9.9713e+01
1.7815e+00 7.2028e+02 9.9676e+01
1.7855e+00 7.1881e+02 9.9205e+01
1.7896e+00 7.1766e+02 9.8894e+01
1.7937e+00 7.1478e+02 9.8364e+01
1.7978e+00 7.1525e+02 9.8345e+01
1.8019e+00 7.1391e+02 9.7977e+01
1.8060e+00 7.1321e+02 9.7700e+01
1.8101e+00 7.1179e+02 9.7486e+01
1.8142e+00 7.1121e+02 9.7124e+01
1.8183e+00 7.0975e+02 9.6849e+01
1.8224e+00 7.0757e+02 9.6292e+01
1.8265e+00 7.0680e+02 9.6130e+01
1.8305e+00 7.0541e+02 9.5852e+01
1.8346e+00 7.0357e+02 9.5344e+01
1.8387e+00 7.0381e+02 9.5277e+01
1.8428e+00 7.0244e+02 9.5016e+01
1.8469e+00 7.0020e+02 9.4504e+01
1.8510e+00 6.9922e+02 9.4280e+01
1.8551e+00 6.9889e+02 9.4051e+01
1.8592e+00 6.9714e+02 9.3708e+01
1.8633e+00 6.9669e+02 9.3582e+01
1.8674e+00 6.9495e+02 9.3221e+01
1.8715e+00 6.9443e+02 9.2971e+01
1.8755e+00 6.9302e+02 9.2565e+01
1.8796e+00 6.9175e+02 9.2455e+01
1.8837e+00 6.8981e+02 9.1942e+01
1.8878e+00 6.8880e+02 9.1692e+01
1.8919e+00 6.8785e+02 9.1491e+01
1.8960e+00 6.8737e+02 9.1373e+01
1.9001e+00 6.8616e+02 9.1102e+01
1.9042e+00 6.8376e+02 9.0432e+01
1.9083e+00 6.8443e+02 9.0517e+01
1.9124e+00 6.8308e+02 9.0175e+01
1.9164e+00 6.8165e+02 8.9830e+01
1.9205e+00 6.8026e+02 8.9542e+01
1.9246e+00 6.7926e+02 8.9274e+01
1.9287e+00 6.7733e+02 8.8814e+01
1.9328e+00 6.7606e+02 8.8564e+01
1.9369e+00 6.7650e+02 8.8582e+01
1.9410e+00 6.7421e+02 8.8173e+01
1.9451e+00 6.7367e+02 8.7952e+01
1.9492e+00 6.7171e+02 8.7548e+01
1.9533e+00 6.7100e+02 8.7362e+01
1.9573e+00 6.7069e+02 8.7081e+01
1.9614e+00 6.6885e+02 8.6842e+01
1.9655e+00 6.6716e+02 8.6358e+01
1.9696e+00 6.6631e+02 8.6204e+01
1.9737e+00 6.6513e+02 8.5953e+01
1.9778e+00 6.6522e+02 8.5999e+01
1.9819e+00 6.6356e+02 8.5445e+01
1.9860e+00 6.6170e+02 8.5089e+01
1.9901e+00 6.6061e+02 8.4946e+01
1.9942e+00 6.6014e+02 8.4791e+01
1.9983e+00 6.5988e+02 8.4589e+01
2.0024e+00 6.5831e+02 8.4347e+01
2.0064e+00 6.5664e+02 8.3914e+01
2.0105e+00 6.5566e+02 8.3591e+01
2.0146e+00 6.5468e+02 8.3433e+01
2.0187e+00 6.5330e+02 8.3106e+01
2.0228e+00 6.5222e+02 8.2883e+01
2.0269e+00 6.5102e+02 8.2753e+01
2.0310e+00 6.5048e+02 8.2504e+01
2.0351e+00 6.4968e+02 8.2218e+01
2.0392e+00 6.4749e+02 8.1800e+01
2.0433e+00 6.4710e+02 8.1656e+01
2.0473e+00 6.4536e+02 8.1404e+01
2.0514e+00 6.4451e+02 8.1081e+01
2.0555e+00 6.4350e+02 8.1054e+01
2.0596e+00 6.4334e+02 8.0697e+01
2.0637e+00 6.4149e+02 8.0502e+01
2.0678e+00 6.4049e+02 8.0198e+01
2.0719e+00 6.3886e+02 7.9932e+01
2.0760e+00 6.3765e+02 7.9590e+01
2.0801e+00 6.3704e+02 7.9404e+01
2.0842e+00 6.3587e+02 7.9212e+01
2.0883e+00 6.3481e+02 7.8932e+01
2.0923e+00 6.3353e+02 7.8690e+01
2.0964e+00 6.3223e+02 7.8401e+01
2.1005e+00 6.3143e+02 7.8191e+01
2.1046e+00 6.2949e+02 7.7881e+01
2.1087e+00 6.3019e+02 7.7841e+01
2.1128e+00 6.2791e+02 7.7460e+01
2.1169e+00 6.2758e+02 7.7281e+01
2.1210e+00 6.2599e+02 7.6981e+01
2.1251e+00 6.2515e+02 7.6750e+01
2.1292e+00 6.2368e+02 7.6485e+01
2.1332e+00 6.2315e+02 7.6313e+01
2.1373e+00 6.2191e+02 7.5984e+01
2.1414e+00 6.2131e+02 7.5918e+01
2.1455e+00 6.1916e+02 7.5412e+01
2.1496e+00 6.1789e+02 7.5263e+01
2.1537e+00 6.1768e+02 7.5159e+01
2.1578e+00 6.1687e+02 7.4854e+01
2.1619e+00 6.1478e+02 7.4606e+01
2.1660e+00 6.1435e+02 7.4443e+01
2.1701e+00 6.1292e+02 7.4119e+01
2.1742e+00 6.1156e+02 7.3878e+01
2.1782e+00 6.1090e+02 7.3649e+01
2.1823e+00 6.0912e+02 7.3385e+01
2.1864e+00 6.0912e+02 7.3301e+01
2.1905e+00 6.0747e+02 7.3024e+01
2.1946e+00 6.0653e+02 7.2771e+01
2.1987e+00 6.0522e+02 7.2516e+01
2.2028e+00 6.0399e+02 7.2250e+01
2.2069e+00 6.0329e+02 7.2066e+01
2.2110e+00 6.0261e+02 7.1838e+01
2.2151e+00 6.0108e+02 7.1546e+01
2.2191e+00 5.9997e+02 7.1349e+01
2.2232e+00 5.9875e+02 7.1053e+01
2.2273e+00 5.9840e+02 7.0969e+01
2.2314e+00 5.9695e+02 7.0700e+01
2.2355e+00 5.9576e+02 7.0527e+01
