# Galaxy (HOD) auto- and cross-power spectra.
# Robust average of 9 spectra using sqrt(1+x^2).
# z=1.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    1.15560e+00     8.62474e+02     2.27995e+00     1.55017e+02     2.72832e-01
    1.15970e+00     8.60266e+02     1.50654e+00     1.54459e+02     1.23347e-01
    1.16380e+00     8.58382e+02     1.64469e+00     1.53840e+02     2.28392e-01
    1.16790e+00     8.57810e+02     1.85718e+00     1.53279e+02     3.19661e-01
    1.17190e+00     8.56052e+02     1.55330e+00     1.52801e+02     2.27401e-01
    1.17600e+00     8.54246e+02     1.69206e+00     1.52015e+02     1.93315e-01
    1.18010e+00     8.53065e+02     1.92090e+00     1.51446e+02     2.24521e-01
    1.18420e+00     8.50535e+02     1.11928e+00     1.50828e+02     1.71894e-01
    1.18830e+00     8.49378e+02     1.30840e+00     1.50340e+02     2.27677e-01
    1.19240e+00     8.47997e+02     1.90312e+00     1.49806e+02     2.61531e-01
    1.19650e+00     8.46432e+02     2.15730e+00     1.49164e+02     2.34030e-01
    1.20060e+00     8.44855e+02     1.90445e+00     1.48690e+02     2.70719e-01
    1.20470e+00     8.43235e+02     2.37940e+00     1.48098e+02     2.35301e-01
    1.20880e+00     8.40924e+02     1.85129e+00     1.47462e+02     2.57874e-01
    1.21290e+00     8.40117e+02     1.60661e+00     1.46937e+02     2.35243e-01
    1.21690e+00     8.38289e+02     1.53616e+00     1.46379e+02     3.46080e-01
    1.22100e+00     8.37385e+02     1.56527e+00     1.45819e+02     1.89910e-01
    1.22510e+00     8.35348e+02     6.54777e-01     1.45349e+02     1.07393e-01
    1.22920e+00     8.34043e+02     1.44152e+00     1.44871e+02     2.05980e-01
    1.23330e+00     8.32256e+02     1.75779e+00     1.44235e+02     1.66734e-01
    1.23740e+00     8.29916e+02     1.38777e+00     1.43527e+02     1.08050e-01
    1.24150e+00     8.29378e+02     1.77203e+00     1.43174e+02     2.23792e-01
    1.24560e+00     8.28025e+02     1.64479e+00     1.42728e+02     2.56619e-01
    1.24970e+00     8.26733e+02     1.74479e+00     1.42262e+02     2.13841e-01
    1.25380e+00     8.25256e+02     1.98892e+00     1.41738e+02     2.38802e-01
    1.25790e+00     8.23478e+02     2.04065e+00     1.41066e+02     2.72336e-01
    1.26190e+00     8.21868e+02     1.26561e+00     1.40649e+02     2.53294e-01
    1.26600e+00     8.20281e+02     1.58027e+00     1.40167e+02     2.47427e-01
    1.27010e+00     8.19652e+02     1.71213e+00     1.39742e+02     2.82513e-01
    1.27420e+00     8.17878e+02     1.75650e+00     1.39061e+02     1.58685e-01
    1.27830e+00     8.16261e+02     2.62660e+00     1.38696e+02     2.55591e-01
    1.28240e+00     8.14764e+02     1.83776e+00     1.38125e+02     1.55059e-01
    1.28650e+00     8.12697e+02     1.16316e+00     1.37441e+02     1.26648e-01
    1.29060e+00     8.11109e+02     1.33117e+00     1.37017e+02     1.62753e-01
    1.29470e+00     8.10388e+02     1.43414e+00     1.36563e+02     1.80697e-01
    1.29880e+00     8.09014e+02     1.36009e+00     1.36203e+02     2.67465e-01
    1.30290e+00     8.07453e+02     1.23525e+00     1.35723e+02     2.93667e-01
    1.30690e+00     8.05299e+02     1.62112e+00     1.35076e+02     2.13835e-01
    1.31100e+00     8.04890e+02     1.85038e+00     1.34731e+02     2.85246e-01
    1.31510e+00     8.03037e+02     1.22050e+00     1.34153e+02     1.56433e-01
    1.31920e+00     8.02513e+02     1.52354e+00     1.33832e+02     1.49877e-01
    1.32330e+00     7.99987e+02     9.01591e-01     1.33294e+02     1.42730e-01
    1.32740e+00     7.99147e+02     1.56896e+00     1.32881e+02     2.22775e-01
    1.33150e+00     7.98065e+02     1.68849e+00     1.32406e+02     1.88062e-01
    1.33560e+00     7.96618e+02     1.28029e+00     1.32031e+02     2.80680e-01
    1.33970e+00     7.96073e+02     1.70944e+00     1.31594e+02     2.43196e-01
    1.34380e+00     7.94021e+02     1.71827e+00     1.30991e+02     9.41621e-02
    1.34790e+00     7.91840e+02     1.63318e+00     1.30437e+02     1.88433e-01
