# k, phh, phm/ 
2.3173e+00 4.6821e+02 1.2109e+02
2.3214e+00 4.6688e+02 1.2051e+02
2.3255e+00 4.6599e+02 1.2010e+02
2.3296e+00 4.6534e+02 1.1962e+02
2.3337e+00 4.6392e+02 1.1915e+02
2.3378e+00 4.6364e+02 1.1883e+02
2.3419e+00 4.6174e+02 1.1817e+02
2.3460e+00 4.6086e+02 1.1768e+02
2.3500e+00 4.6032e+02 1.1727e+02
2.3541e+00 4.5954e+02 1.1704e+02
2.3582e+00 4.5880e+02 1.1651e+02
2.3623e+00 4.5693e+02 1.1586e+02
2.3664e+00 4.5697e+02 1.1588e+02
2.3705e+00 4.5588e+02 1.1520e+02
