# Real space h-h auto- and h-m cross-spectra.
# z=0.500, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    2.03098e+00     7.44798e+02     4.95903e+01
    2.03507e+00     7.43601e+02     4.96817e+01
    2.03917e+00     7.42860e+02     4.95724e+01
    2.04325e+00     7.42578e+02     4.95317e+01
    2.04735e+00     7.40074e+02     4.93122e+01
    2.05143e+00     7.39763e+02     4.92544e+01
    2.05552e+00     7.38069e+02     4.88089e+01
    2.05962e+00     7.36943e+02     4.87220e+01
    2.06371e+00     7.35568e+02     4.89007e+01
    2.06780e+00     7.34533e+02     4.86945e+01
    2.07189e+00     7.33320e+02     4.85643e+01
    2.07598e+00     7.32028e+02     4.82643e+01
    2.08007e+00     7.30430e+02     4.81173e+01
    2.08416e+00     7.29529e+02     4.81780e+01
    2.08825e+00     7.28350e+02     4.77789e+01
    2.09234e+00     7.27275e+02     4.80335e+01
    2.09644e+00     7.26200e+02     4.77652e+01
    2.10053e+00     7.26519e+02     4.76590e+01
    2.10461e+00     7.23731e+02     4.72182e+01
    2.10870e+00     7.22354e+02     4.72622e+01
    2.11280e+00     7.22342e+02     4.71317e+01
    2.11688e+00     7.20695e+02     4.70038e+01
    2.12098e+00     7.18443e+02     4.69334e+01
    2.12507e+00     7.17181e+02     4.67832e+01
    2.12916e+00     7.15617e+02     4.64344e+01
    2.13325e+00     7.14539e+02     4.63886e+01
    2.13734e+00     7.14621e+02     4.63916e+01
    2.14143e+00     7.13424e+02     4.63381e+01
    2.14552e+00     7.11564e+02     4.61464e+01
    2.14961e+00     7.10018e+02     4.59995e+01
    2.15370e+00     7.09351e+02     4.59457e+01
    2.15779e+00     7.08048e+02     4.59661e+01
    2.16188e+00     7.06387e+02     4.55799e+01
    2.16597e+00     7.06544e+02     4.54790e+01
    2.17006e+00     7.04772e+02     4.56925e+01
    2.17416e+00     7.03365e+02     4.54550e+01
    2.17825e+00     7.01983e+02     4.52220e+01
    2.18234e+00     7.00270e+02     4.50541e+01
    2.18643e+00     6.99953e+02     4.48845e+01
    2.19052e+00     6.98891e+02     4.48824e+01
    2.19461e+00     6.96555e+02     4.47313e+01
    2.19870e+00     6.95595e+02     4.45819e+01
    2.20279e+00     6.95251e+02     4.44219e+01
    2.20688e+00     6.93995e+02     4.43253e+01
    2.21097e+00     6.93166e+02     4.42620e+01
    2.21506e+00     6.91380e+02     4.40985e+01
    2.21915e+00     6.88480e+02     4.38883e+01
    2.22324e+00     6.88874e+02     4.38630e+01
    2.22733e+00     6.88538e+02     4.38801e+01
    2.23142e+00     6.86788e+02     4.36038e+01
    2.23552e+00     6.84763e+02     4.34901e+01
