# Real space auto- and cross-spectra.
# z=3.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    1.09832e+00     1.38426e+03     5.38923e+01     8.53382e+00
    1.10242e+00     1.37991e+03     5.33161e+01     8.46409e+00
    1.10650e+00     1.38191e+03     5.34261e+01     8.44018e+00
    1.11059e+00     1.37438e+03     5.27791e+01     8.35035e+00
    1.11468e+00     1.37530e+03     5.26789e+01     8.31890e+00
    1.11878e+00     1.37400e+03     5.23829e+01     8.24565e+00
    1.12287e+00     1.37013e+03     5.21286e+01     8.19452e+00
    1.12695e+00     1.36578e+03     5.17384e+01     8.14005e+00
    1.13105e+00     1.36704e+03     5.17980e+01     8.09118e+00
    1.13514e+00     1.36587e+03     5.14751e+01     8.03075e+00
    1.13922e+00     1.36291e+03     5.12849e+01     7.98402e+00
    1.14331e+00     1.36034e+03     5.08325e+01     7.92031e+00
    1.14741e+00     1.35754e+03     5.06720e+01     7.88194e+00
    1.15150e+00     1.35326e+03     5.02903e+01     7.82115e+00
    1.15559e+00     1.35138e+03     4.99951e+01     7.75042e+00
    1.15968e+00     1.34873e+03     4.98964e+01     7.73063e+00
    1.16377e+00     1.34147e+03     4.93115e+01     7.65509e+00
    1.16786e+00     1.34368e+03     4.92745e+01     7.60645e+00
    1.17195e+00     1.33940e+03     4.90114e+01     7.55908e+00
    1.17604e+00     1.34068e+03     4.87861e+01     7.50506e+00
    1.18013e+00     1.33557e+03     4.83330e+01     7.44640e+00
    1.18422e+00     1.33033e+03     4.80314e+01     7.39213e+00
    1.18831e+00     1.32955e+03     4.79542e+01     7.37360e+00
    1.19240e+00     1.33157e+03     4.80607e+01     7.34239e+00
    1.19649e+00     1.32523e+03     4.74836e+01     7.26281e+00
    1.20059e+00     1.32179e+03     4.72870e+01     7.22696e+00
    1.20468e+00     1.31762e+03     4.70120e+01     7.15821e+00
    1.20877e+00     1.31627e+03     4.69336e+01     7.13002e+00
    1.21286e+00     1.31664e+03     4.66386e+01     7.08060e+00
    1.21695e+00     1.31356e+03     4.63478e+01     7.02185e+00
    1.22104e+00     1.30929e+03     4.59272e+01     6.96561e+00
    1.22513e+00     1.31047e+03     4.59426e+01     6.93517e+00
    1.22922e+00     1.30505e+03     4.54669e+01     6.88276e+00
    1.23330e+00     1.30519e+03     4.52930e+01     6.84223e+00
    1.23740e+00     1.30411e+03     4.52442e+01     6.81803e+00
    1.24149e+00     1.29975e+03     4.49544e+01     6.75742e+00
    1.24558e+00     1.29543e+03     4.46746e+01     6.71214e+00
    1.24967e+00     1.29709e+03     4.45976e+01     6.68793e+00
    1.25376e+00     1.29034e+03     4.42238e+01     6.62451e+00
    1.25785e+00     1.29349e+03     4.41179e+01     6.59435e+00
    1.26194e+00     1.28897e+03     4.39404e+01     6.56253e+00
    1.26603e+00     1.28570e+03     4.37432e+01     6.52056e+00
    1.27012e+00     1.28537e+03     4.34852e+01     6.47104e+00
    1.27422e+00     1.28251e+03     4.33117e+01     6.43916e+00
    1.27831e+00     1.27873e+03     4.30753e+01     6.39612e+00
    1.28240e+00     1.27959e+03     4.29307e+01     6.36039e+00
    1.28649e+00     1.27403e+03     4.25962e+01     6.30272e+00
    1.29058e+00     1.27507e+03     4.26228e+01     6.28326e+00
